@relation training

@attribute 'preferred position' {top,jungle,mid,adc,support}
@attribute 'current rank(%of top)' numeric
@attribute 'recent P/kill' numeric
@attribute 'highest champ gold' numeric
@attribute 'highest champ cs' numeric
@attribute 'avg turrent' numeric
@attribute 'avg dmg' numeric
@attribute 'number of seasons' numeric
@attribute 'number of recent teammates' numeric
@attribute '# of games played with most played champion' numeric
@attribute 'overall winrate' {high,medium,low}

@data
mid,24.5,40,12134,101.9,0.46,97175,5,17,6,low
top,4.97,50,11276,150.2,0.79,115544,6,9,7,medium
top,0.85,47,12307,207.5,1.55,126941,4,6,6,medium
support,35.5,48,13252,204.5,1.20,159833,6,8,4,low
adc,6.7,54,12184,177.0,0.77,112459,7,9,7,medium
mid,3.35,41,12757,185.7,1.41,149375,5,8,2,medium
support,12.6,53,9258,27.5,0.21,25357,2,7,2,high
top,6.8,51,12156,78.5,0.44,132660,5,12,2,medium
jungle,8.82,56,11410,38.7,0.81,125499,5,7,3,high
support,2.42,55,11495,36.0,0.41,125914,6,8,3,high
adc,2.9,51,12606,213.6,1.53,171217,4,15,7,high
jungle,6.5,51,11848,31.9,0.44,122782,2,8,10,medium
mid,6.25,53,13329,165.8,1.05,146619,6,14,25,low
top,13.4,47,12911,198.7,1.92,156687,2,3,16,high
mid,21.3,53,11967,158.9,1.15,131730,3,5,7,medium
jungle,14.8,43,11763,73.6,1.0,143955,5,4,5,medium
top,14.6,47,13906,203.9,1.43,164048,5,0,8,medium
top,16.1,47,11560,152.2,1.13,106669,2,0,14,medium
adc,12.8,46,12519,192.2,1.56,160.716,6,7,14,medium
support,22.2,50,9739,48.0,0.20,37939,3,10,11,medium
mid,18.8,47,12867,172.2,2.37,151864,2,0,54,high
mid,16.5,57,12344,187.1,0.75,129962,5,2,9,medium
mid,21.9,49,11809,175.9,0.50,127943,3,5,9,high
support,29.2,45,9861,11.8,0.19,15895,2,5,3,high
top,13.9,54,12012,192.2,1.80,141371,1,12,7,high
adc,10.3,55,13885,211.9,1.60,155300,3,0,12,medium
mid,5.15,57,12251,196.3,1.58,158714,5,9,3,medium
adc,16.8,46,13877,206.9,0.91,154893,5,4,11,medium
top,19.9,39,12424,201.4,1.18,142266,5,4,4,medium
adc,8.96,52,13312,33.5,0.58,153733,5,7,7,high
adc,30.34,50,13961,213.2,2.17,172786,3,8,2,high
top,12.3,43,11839,139.9,0.64,105342,3,0,12,medium
adc,17.2,54,13209,195.5,1.86,130238,3,9,0,high
adc,7.30,51,13418,207.4,2.11,164052,4,2,31,medium
adc,23.1,52,13170,189.3,1.29,148300,3,15,3,medium
top,8.5,44,11701,159.7,1.09,109228,3,5,18,medium
jungle,8.49,50,13635,116.8,2.04,188909,3,9,13,medium
adc,7.73,54,13478,190.1,1.80,144068,4,14,3,medium
top,6.57,47,12746,200.1,2.75,152944,3,12,8,low
top,10.53,47,10689,153.7,1.14,100547,6,4,10,low
support,16.3,55,12453,187.4,0.65,136752,5,6,12,high
adc,10.2,52,13939,22.4,1.66,171742,1,8,20,medium
jungle,19.52,58,11773,20.9,0.33,128488,3,11,5,medium
top,7.1,42,13850,200.8,1.58,150206,3,13,10,high
adc,22.0,48,13203,179.8,1.56,153309,5,5,8,low
adc,46.4,41,13550,186.6,1.53,146728,2,9,18,medium
top,21.1,42,12011,39.3,0.37,128047,3,7,18,medium
top,21.3,50,12685,175.6,1.48,154205,5,2,21,medium
mid,37.6,47,14519,205.3,3.13,198848,4,8,2,medium
mid,17.7,44,13274,37.8,0.86,143638,2,2,8,medium
adc,32.1,46,15735,235.8,1.29,277450,2,9,4,high
top,18.2,44,11203,130.4,1.13,112662,2,2,4,medium
top,17.6,46,12096,86.6,1.31,134081,3,3,22,medium
adc,81.0,50,15505,96.8,1.41,219577,1,13,1,high
support,76.0,33,14713,202.2,1.00,208354,1,9,1,low
jungle,10.64,51,8786,41.2,0.45,23683,5,8,2,medium
adc,17.01,64,15262,229.3,3.00,175694,6,2,8,high
jungle,10.67,45,11499,135.0,0.69,120139,3,0,15,medium
top,7.34,57,12769,143.5,1.24,132301,3,2,7,medium
support,11.6,58,9277,11.6,0.26,11766,3,4,1,medium
mid,11.9,51,13561,39.2,0.41,149783,3,16,4,high
adc,3.97,55,13175,210.8,1.61,180532,6,4,25,medium
mid,13.8,48,12442,26.0,0.66,138865,5,9,6,medium
top,13.9,43,10999,185.5,1.4,137220,1,3,10,high
mid,5.56,51,12419,173.3,0.73,122784,4,5,14,medium
jungle,5.98,42,11913,53.9,0.83,137506,4,2,1,medium
support,53.0,53,9669,15.0,0.30,18768,2,19,0,medium
top,5.25,45,11392,169.6,0.42,106593,3,9,0,high
adc,12.2,54,12652,167.8,2.0,128100,6,19,4,medium
top,21.1,46,11956,43.7,0.52,134655,1,17,5,medium
adc,5.65,55,12817,202.2,1.32,142128,5,10,15,low
mid,43.3,52,14188,182.8,2.40,171338,1,17,2,medium
adc,33.8,47,13004,179.0,1.69,142891,3,16,4,medium
support,42.0,46,9919,27.9,0.18,23435,4,14,4,low
mid,3.80,50,12583,182.0,1.01,140573,4,7,0,high
mid,26.9,48,8743,10.3,0.08,11306,4,12,2,low
jungle,52.0,45,12901,191.0,2.05,163442,3,10,6,medium
mid,38.48,48,13933,169.6,1.33,133941,3,2,11,low
adc,41.2,45,11321,164.5,0.67,101949,1,6,11,low
mid,17.9,48,12733,191.2,0.95,151207,4,4,16,medium
support,26,42,12783,196.2,1.38,150345,5,4,3,medium
mid,17.16,48,9824,39.7,0.22,24530,5,3,6,medium
top,17.2,48,12107,176.2,1.26,120577,2,11,10,medium
adc,19.6,45,11223,46.8,0.55,53820,5,10,20,medium
support,22.5,61,9357,16.0,0.38,14904,4,5,8,medium
mid,19.9,52,12937,152.5,0.96,111121,5,0,12,medium
adc,15.3,43,12350,160.4,0.84,121720,5,0,16,high
jungle,13.2,54,12243,49.6,0.57,164371,1,10,17,medium
jungle,60.0,40,14010,199.4,1.0,194602,4,3,1,low
mid,58.0,47,13284,202.0,1.04,146237,3,5,6,high
jungle,56.0,43,13179,192.9,1.25,151855,2,8,1,low
top,69.0,45,12662,134.1,1.16,137399,2,9,13,medium
top,63.0,51,12996,184.6,1.56,145565,1,9,0,low
mid,26.9,57,13509,187.6,1.60,158027,4,20,5,medium
adc,33.1,44,12108,169.0,1.67,119113,3,6,5,low
top,12.9,38,12644,189.0,1.53,139504,4,5,11,low
top,46.3,42,14242,42.4,0.43,187462,3,6,26,medium
support,65.0,56,9145,21.5,0.2,21557,1,10,1,medium
adc,56.0,45,12638,198.7,1.31,147038,3,3,3,low
mid,51.0,53,12146,168.5,0.68,128562,5,2,8,medium
jungle,70.0,63,15453,60.7,0.86,206116,3,0,1,low
top,41.7,50,13369,180.4,1.85,139626,5,14,9,medium
jungle,46.4,52,13768,219.6,1.67,175131,4,3,24,medium
jungle,48.4,47,12626,163.0,1.33,141160,1,4,6,low
mid,56,50,11711,125.5,0.65,105126,2,14,7,medium
top,49.3,44,14369,172.2,2.12,157312,3,3,6,medium
jungle,89.0,49,10641,135.3,0.47,104749,2,4,9,low
adc,57.0,51,12209,168.2,1.5,134881,3,4,16,low
jungle,52.0,53,13507,72.4,0.67,170324,3,4,2,medium
support,50.0,48,10660,47.6,0.47,44901,3,0,18,high
jungle,26.9,51,11921,123.0,0.86,133255,5,6,3,low
jungle,57.0,53,14461,210.4,1.96,186265,2,7,2,medium
mid,29.9,54,12376,119.6,0.72,140349,4,2,17,low
top,72.0,46,12791,173.0,1.1,111350,3,6,2,high
adc,55.0,51,14451,221.4,1.17,209387,2,0,7,medium
mid,61.0,51,13967,200.7,1.29,232550,4,11,5,low
jungle,62.0,45,13408,180.4,1.27,149109,5,8,3,medium
jungle,54.0,45,13240,59.9,0.17,156989,2,13,5,medium
top,52.0,53,12838,160.4,1.62,139641,3,0,1,medium
mid,40.3,50,13226,169.8,1.20,130228,4,0,11,high
mid,37.4,48,13623,192.5,2.21,162123,2,2,7,medium
adc,84.0,57,15598,196.1,1.38,170138,4,8,5,medium
support,58.0,52,11892,51.6,1.29,96431,2,12,6,medium
mid,46.0,58,10190,122.7,0.61,94303,6,0,6,low
support,65.0,46,9969,42.1,0.21,43562,1,20,2,low
adc,44.9,52,12899,159.4,1.60,139966,5,5,16,medium
mid,50.0,52,13836,201.5,1.54,158803,2,7,13,low
adc,37.8,48,13852,224.3,1.64,201588,4,8,8,medium
mid,18.0,51,12710,241.4,0.71,163242,4,6,18,medium
support,98.0,46,12250,84.7,0.8,137245,1,9,15,low
top,84.0,44,11162,116.0,0.88,96531,3,0,4,medium
top,54.0,38,9563,110.3,1.17,88594,1,7,2,low
support,84.0,48,9672,30.0,0.0,82700,1,10,1,low
support,52.0,56,11027,50.5,0.38,39125,2,9,4,high
jungle,35.2,58,10720,125.0,0.51,101114,4,4,6,medium
adc,95.0,37,7051,33.7,0.0,20410,1,4,1,low
mid,70.0,40,13187,186.6,1.92,154445,2,8,2,medium
top,75.0,28,11127,117.6,0.86,111923,1,2,2,low
adc,64.0,42,12412,176.1,1.33,137439,3,0,3,medium
top,97.0,37,12235,154.0,0.73,111082,1,10,22,low
mid,5.43,58,13653,168.8,1.76,149034,1,11,4,high
jungle,16.5,60,12750,57.7,1.41,149913,1,2,18,high
adc,6.36,55,13005,194.4,1.99,163311,4,3,22,medium
support,14.75,56,9835,42.3,0.28,27099,3,12,25,medium
mid,8.25,42,13554,203.3,1.57,177463,3,10,14,medium
support,16.2,36,11662,182.6,1.31,110522,1,4,2,high
jungle,24.5,62,11472,41.1,0.69,125788,6,11,16,high
adc,15.6,44,12401,174.5,1.27,128558,5,13,1,medium
adc,14.3,56,12543,160.1,1.46,131282,5,3,4,high
support,17.9,49,13529,154.2,0.8,109135,3,5,3,medium
top,27.4,41,8931,18.0,1.0,105143,3,0,1,high
jungle,18.2,45,11074,74.0,1.4,133937,3,7,2,low
adc,7.21,56,14341,104.1,1.5,183568,2,16,3,medium
mid,6.97,48,10548,166.9,0.66,124889,5,4,12,low
support,18.6,42,7964,57.0,0.2,76190,2,3,1,low
adc,10.4,51,13459,181.9,1.71,165154,6,2,3,medium
jungle,21.8,59,13682,37.3,0.96,168177,5,6,0,high
mid,19.4,48,12632,62.8,0.61,156117,4,15,1,medium
top,19.6,40,12737,180.2,1.05,153424,3,3,5,medium
support,39.2,44,11894,45.0,0.23,134572,3,19,0,medium
jungle,34.9,47,13572,73.9,0.43,195214,4,13,4,high
top,42.5,47,12854,132.1,1.22,130645,2,3,42,medium
adc,7.87,42,12880,197.9,1.42,145542,4,10,0,medium
adc,8.26,49,13922,192.8,2.04,182361,5,13,0,high
top,33.5,48,12293,125.5,1.42,133974,1,5,13,high
top,11.3,44,14324,83.6,1.56,222423,2,8,0,high
support,70.0,32,10462,54.0,0.0,37694,1,0,2,low
mid,22.2,51,13169,176.5,0.53,136663,2,10,0,high
mid,35.4,51,13717,214.5,1.47,200677,2,8,0,medium
top,45.2,48,10230,46.3,0.96,111175,3,5,0,low
mid,20.9,46,12194,169.0,0.86,119131,4,9,44,medium
adc,22.6,42,11176,176.4,1.17,105759,5,7,4,medium
adc,33.3,41,13941,52.2,0.74,188304,4,3,5,medium
adc,8.17,50,13261,202.7,1.42,147388,4,15,2,medium
top,8.87,45,13745,64.4,0.52,185362,3,11,9,high
adc,6.72,56,14594,231.4,1.75,210942,4,6,1,medium
support,11.6,45,10228,21.8,0.39,26773,5,2,4,medium
top,16.2,45,13428,214.9,1.52,186422,5,6,5,medium
jungle,16.5,52,11809,62.0,0.53,145911,5,9,2,low
top,17.4,55,12610,171.7,1.62,124510,5,3,15,medium
jungle,13.42,58,9534,35.4,0.21,25721,3,15,2,low
support,14.3,55,10467,18.1,0.51,27361,4,0,18,medium
top,32.51,44,10634,134.2,0.96,87634,5,14,32,low
jungle,14.8,57,10452,41.8,0.5,136384,3,5,4,low
support,17.5,58,10933,38.2,0.12,55154,6,19,18,medium
adc,19.9,44,15635,213.5,1.86,168279,5,3,4,medium
jungle,10.9,57,14812,212.3,1.33,230586,4,14,23,medium
adc,6.21,40,13757,203.4,1.46,160114,3,2,8,high
support,35.5,51,9441,36.3,0.19,26703,4,11,4,high
mid,12.4,46,14484,213.5,1.31,214464,3,2,9,medium
mid,7.87,55,12900,173.1,1.03,126642,5,0,11,medium
adc,5.77,33,13270,240.6,1.69,179306,6,0,23,medium
support,31.2,56,10391,81.1,0.8,63459,3,11,0,medium
top,8.42,44,13062,188.4,1.23,138965,2,5,6,medium
top,18.1,47,13849,180.2,2.38,146453,3,16,0,medium
jungle,12.6,49,14296,91.7,1.68,200177,4,6,0,high
top,49.8,54,9926,99.3,0.0,69994,3,2,2,high
top,56.0,45,14273,190.3,1.25,140070,3,0,0,high
top,30.6,59,11935,156.4,1.35,108023,5,17,1,low
support,19.8,52,8881,11.3,0.21,13228,3,7,4,medium
jungle,42,49,13087,191.5,1.14,146358,3,4,1,medium
support,4.29,56,8796,13.0,0.21,15904,3,2,31,high
jungle,49.9,47,13667,116.5,1.64,196765,2,0,2,low
top,44.8,54,11493,142.9,0.67,82800,1,13,0,low
top,39.3,41,12369,194.3,1.73,156153,4,3,1,low
adc,32.4,48,13249,215.8,1.27,153860,3,7,2,low
support,51.0,48,10986,31.6,0.43,407097,5,0,3,low
top,46.5,39,13553,221.0,1.39,184878,5,5,16,low
mid,53.0,44,13452,247.1,1.25,184025,1,2,9,low
top,73.0,49,12492,168.4,0.9,132061,4,7,3,low
jungle,55,49,13990,201.7,1.17,173231,3,2,17,medium
support,65.0,50,13003,146.0,1.89,130120,3,0,7,medium
support,79.0,52,12094,97.3,0.67,189636,1,5,6,low
adc,11.34,49,13674,183.9,1.50,159548,5,10,1,low
top,52.0,54,13105,181.2,1.78,144036,2,5,2,high
jungle,45.2,41,10069,30.1,0.33,19850,4,0,4,medium
top,48.9,46,10814,57.4,1.0,118486,4,5,1,high
adc,65.0,53,11648,151.1,0.7,111672,4,9,8,medium
adc,65.0,58,12792,175.9,0.9,127974,4,0,13,medium
jungle,84.0,32,12029,154.9,0.57,132353,1,5,4,low
top,48.6,42,12806,177.1,1.43,152342,3,9,5,medium
adc,69.0,48,126898,164.0,2.75,127706,3,6,10,high
mid,69.0,55,13541,149.5,1.7,140858,3,2,9,high
mid,60.0,46,13443,73.9,1.39,179837,5,7,7,medium
jungle,61.0,51,12720,88.3,0.62,98036,2,0,43,medium
mid,45.4,50,12501,179.4,0.89,131883,5,0,5,low
adc,57,53,12906,161.0,1.55,131546,3,3,15,medium
support,71.0,47,11116,49.3,0.73,34080,2,10,2,medium
mid,65.0,45,13467,213.4,0.8,162136,1,3,7,high
jungle,76.0,53,11367,49.0,0.57,168669,1,12,7,low
top,65.0,45,13408,187.4,1.95,157147,2,5,3,medium
adc,63.0,44,13738,180.6,2.02,152728,2,17,4,medium
support,58.0,55,9959,21.9,0.24,23526,1,5,16,medium
mid,66.0,49,11030,156.3,0.79,116894,5,0,7,high
jungle,77.0,50,12360,55.9,0.61,123001,3,2,7,low
mid,77.0,52,10962,160.5,0.91,112094,1,5,1,low
support,75.0,48,10875,71.7,0.73,64702,2,8,7,medium
mid,58.0,51,10168,35.1,0.21,39150,2,9,2,high
jungle,69.0,48,13880,174.4,1.63,175714,2,2,2,high
mid,54.0,48,12527,171.6,1.75,145247,2,15,7,high
support,75.0,48,10331,11.9,0.18,19218,3,6,2,medium
top,50.0,40,12602,166.6,1.07,116523,2,11,18,medium
jungle,54.0,40,12158,40.2,0.58,134871,4,6,52,low
mid,70.0,46,13077,148.1,0.69,126358,2,3,12,medium
adc,58.0,46,13129,169.4,1.42,141013,4,3,11,medium
support,81.0,45,12155,91.3,1.18,129589,5,3,4,low
top,72.0,53,9314,43.2,0.24,32005,1,6,0,low
adc,69.0,44,12072,80.6,0.75,112973,3,9,10,medium
adc,50.0,56,14435,193.8,1.73,165360,3,12,2,high
support,52.0,45,11402,165.0,1.23,126020,3,13,11,medium
mid,46.1,53,11292,28.0,0.32,119906,2,6,2,low
top,38.6,51,12551,142.9,0.77,114458,3,7,27,high
adc,44.9,54,13354,127.0,1.06,142969,2,11,6,low
mid,30.0,54,13116,184.6,1.59,144351,3,3,7,high
adc,39.1,50,11913,180.8,0.53,114090,4,7,7,medium
support,35.5,52,9779,49.1,0.25,36127,3,17,11,low
mid,37.8,52,11698,150.7,0.95,108318,1,15,6,low
top,51.0,54,12533,170.3,1.37,127444,2,0,7,medium
jungle,1.36,65,13446,51.7,0.97,150181,4,16,1,high
support,36.3,54,9220,38.4,0.5,25505,5,6,3,high
support,62,70,10426,20.9,0.19,27109,1,12,1,low
top,61,55,13229,214.5,2.09,161380,3,2,1,low
top,77,46,11628,164.9,0.86,129953,5,0,1,low
support,64,46,13161,79.6,0.68,103110,3,2,2,medium
adc,59,46,12559,190.7,1.85,170717,5,2,4,medium
support,70,52,11062,20.3,0.50,39793,3,2,19,medium
mid,37,32.37,13466,163.8,1.93,144761,2,7,2,high
support,58,55,9659,39.8,0.13,29023,1,3,2,low
top,80,26,12007,156.8,0.46,129408,1,12,1,low
support,49,48,10080,44,0.3,42516,2,6,6,medium
mid,15.72,45,13340,160.1,1.19,117351,4,7,5,high
support,35.87,45,11637,56,0.5,54456,5,11,4,high
adc,55,51,12294,170.2,1.2,126416,1,4,12,low
jungle,21.93,48,12356,65.5,0.79,151866,5,4,7,medium
support,25.9,52,9386,9.2,0.3,18017,5,3,13,medium
support,13,54,11641,54,0.49,82204,4,5,14,high
top,24.86,41,12078,145.3,1.27,120332,3,5,28,high
adc,22.47,61,13065,191,1.81,147064,2,13,31,high
adc,6.9178,44,13423,186.1,1.91,140036,5,0,2,medium
jungle,14.59,51,12601,150.4,1.5,125730,5,4,5,high
jungle,23.16,49,10916,26.1,0.48,128521,1,0,4,high
jungle,21.01,49,10101,141.5,0.75,100085,2,9,6,low
jungle,15.29,50,12139,61.6,1.18,152383,4,0,2,medium
adc,31.98,43,12760,191.7,1.76,136150,5,2,8,medium
mid,24.99,42,12464,213.8,0.87,150258,4,13,9,medium
adc,52,56,12871,174.5,0.68,128238,5,2,3,low
top,59,36,13243,156.1,2.07,183791,5,0,10,medium
